Basket Source,Basket Title,Course Code,Course Title,Course Type,Credits,Compulsory Course
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE1006,Foundations for Data Analytics,ETL,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE1007,Introduction to Cryptography,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE1018,Cyber Physical System Security,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE1021,Foundations of Blockchain Technology,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2003,Requirements Engineering Management,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2004,Software Design and Architecture,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2006,Computer Graphics,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2009,Soft Computing,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2010,Secure Coding,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2011,Cyber Security and Digital Forensics,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2012,Knowledge Representation and Reasoning,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2013,Information Theory and Coding,TH,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2022,Edge Artificial Intelligence,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2024,Blockchain Architecture Design,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2025,AWS Solution Architecture,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE2026,Object Oriented Analysis and Design,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3001,Agile Development Process,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3002,Artificial Intelligence,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3005,Distributed Systems,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3006,Data Visualization,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3007,Information Retrieval,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3008,Introduction to Machine Learning,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3009,No SQL Databases,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3010,Network Design and Performance Evaluation,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3011,Network Programming,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3012,Network Security,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3013,Secure Group Communications,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3015,Natural Language Processing,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3016,Cloud Computing and Security,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3017,Cloud Big Data Analytics,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3018,Software Configuration Management,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3019,Software Quality and Reliability,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3020,Product Definition and Validation,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3032,Competitive Programming,ELP,6,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3033,Software Verification and Validation,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3035,Blockchain and Distributed Ledger Technology,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3036,Cryptocurrency Technologies and Bitcoin,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3037,Public Key Infrastructure & Trust Management,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3038,Smart Contracts,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3040,Incident Response Management System,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE3041,Malware Analysis,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4001,Cloud Computing,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4002,Mobile Application Development,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4003,Parallel Computing,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4004,Web Technologies,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4005,Data Warehousing and Data Mining,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4006,Deep Learning,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4007,Digital Image Processing,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4008,Social Network Analysis,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4009,Wireless and Mobile Computing,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4010,Wireless and Mobile Security,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4011,Internet of Things,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4012,UI UX User Experience Design,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4013,Reverse Engineering,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4014,Team Software Process,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4015,Network Administration,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4016,Database Administration,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4017,Health Care Analytics,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4018,Computer Vision and Robotics,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4019,Applications of Artificial Intelligence,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4020,Agent Based Intelligent Systems,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4021,Introduction to Cognitive Modelling,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4022,Modelling and Simulation,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4023,Introduction to Blockchain Technology,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4026,Cyber Security,ETLP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4027,Data Analytics,ETLP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4028,Advanced Cyber Security,ETLP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4029,Advanced Data Analytics,ETLP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4031,Web Application Security,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4037,Reinforcement Learning,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4040,Mining Massive Data Sets,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4041,Applications of Data Analytics,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4042,Blockchain Platforms and Applications,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4043,Intrusion Detection and Prevention System,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4044,Software Defined Networks and Network Function Virtualization,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4046,Design Patterns,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4047,Computer Vision,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,CSE4049,Software Project Management,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ECE2011,Signal Acquisition and Conditioning,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ECE2014,Microprocessors and Microcontrollers,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ECE4003,Embedded Programming,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ECE4013,Image and Video Processing,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ECE4015,Embedded Robotic Programming,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1001,Juniper Networks - Introduction to the Junos Operating System,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1002,Juniper Networks - Introduction to Juniper Security,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1003,Juniper Networks - Introduction to Junos Platform Automation and DevOps,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1004,Juniper Networks - Juniper Cloud Fundamentals,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1005,Juniper Networks - Juniper Networks Design Fundamentals,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1006,Juniper Networks - Juniper's Mist AI Networks,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1007,Entuple - Synthesis and Static Timing Analysis,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1008,Entuple - Physical Design,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1009,GoDaddy Academy - Web Development,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1010,Smart Bridge - Internet of Things,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1011,Pharma Genie - Life Sciences Sector Skill Development Council,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1012,Smart Bridge - Artificial Intelligence,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1013,Microsoft - Azure Fundamentals,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1014,Smart Bridge - Data Analytics,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1015,Smart Bridge - Applied Data Science,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1016,RH124 Red Hat System Administration,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1017,RH134 Red Hat System Administration II,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1018,RH294 Red Hat Enterprise Linux Automation with Ansible,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1019,AD183 Red Hat Application Development I: Programming in Java EE,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1020,CL110 Red Hat OpenStack Administration I: Core Operations for Domain Operators,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1021,ISRO Space Science and Technology Awareness Training (START),PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1022,AWS Certified Solutions Architect - Associate,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1023,Microsoft Power Platform App Maker (PL-100),PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1024,Microsoft - Azure Administrator (AZ-104),PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1025,Certificated Ethical Hacker (CEH),PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1026,MERN Full StackQ,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1027,Cloud Digital Leader,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1028,Certificate in Mechanical Services Engineering,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1029,VLSI Design Internship,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1030,Java Development on Oracle Cloud (Java SE11),PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1031,Certificate in Concrete Techniques and Practices,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1032,Practitioners Approach to Power System Protection and Switchgear,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1033,Certificate in Microcontroller and Application,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1034,Database Developer on Oracle Cloud,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1035,Application Development on Oracle Cloud,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1036,Life Sciences - Quality Control Chemist,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1037,Introduction to 3D Printing & CAD Modeling,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1038,JAVA Full stack,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1039,Certificate In Mechanized Construction Techniques,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1040,Certificate In Transportation Infrastructure Engineering,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1041,Electrical Design for Modern Building Infrastructure,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1042,Foundation Course- VLSI Design Methodologies,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1043,Oracle Java Foundation Associate,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1044,Android App Development,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1045,Automation Anywhere University Certified Essentials RPA Professional,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1046,Google Cloud Computing Foundations,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1047,Hands-On Training Analytical Drug Testing- Greentree Laboratories,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1048,Salesforce Administrator,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1049,Artificial Intelligence & Machine Learning in collaboration with Google (Applied Data Science),PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1050,Data Analytics with IBM Cognos Analytics,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1051,AI for Cyber Security With IBM Qrador (AI for Web Security),PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1052,IOT - Vision Technologies,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC1053,Foundation Course - Embedded System Design,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2001,IDS Inc. - Certified Blockchain Developer,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2002,NASSCOM - Artificial Intelligence Foundation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2003,NASSCOM - Big Data Foundation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2004,NASSCOM - Cloud Computing Foundation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2005,NASSCOM - UX Foundation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2006,NASSCOM - IOT Foundation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2007,NASSCOM - Vulnerability Assessment for AppSec,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2008,NASSCOM - Fundamentals of Data Analytics,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2009,NASSCOM - Security Analyst,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2010,NASSCOM - Associate Analytics,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2011,Automation Anywhere - Robotics Process Automation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2012,Oracle Autonomous Database Cloud Specialist,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2013,Oracle Application Express: Developing Web Applications,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2014,Oracle Cloud Infrastructure Foundations Associate,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2015,Oracle Machine Learning Data Scientist,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2016,Oracle - Java SE Developer,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2017,AWS - Cloud Practitioner - Foundation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2018,AWS - Solution Architect - Associate,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2019,AWS SysOps Administrator - Associate,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2020,AWS Developer - Associate,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2021,Microsoft - Azure AI Fundamentals,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2022,Microsoft - Azure AI Engineer,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2023,Microsoft - Azure Data Scientist,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2024,Microsoft - Azure Data Engineer - 1,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2025,Microsoft - Azure Data Engineer - 2,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2026,Microsoft - Azure Developer - 1,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2027,Microsoft - Azure Developer - 2,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2028,Microsoft - Azure DevOps Engineer - 4,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2029,Microsoft - Azure Security Engineer - 5,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2030,Microsoft - Azure Solutions Architect,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2031,Maven Silicon - VLSI,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2032,VMWare IT Academy - Java Spring Boot,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2033,IBM Developers Skills Network - IBM Cloud,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2034,AWS - DevOps,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2035,IBM - Artificial Intelligence,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2036,IBM - Applied Data Science,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2037,IBM - Internet of Things,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2038,IBM Developers Skills Network - IBM Cloud,PJT,2,
